Start	 End 	 Ontology	   Term				 ArtclTerm'
4465     4476    GO:0005694        chromosome                    "chromosomes"
4515     4525    GO:0003823        antigen binding               "antibodies"
4515     4525    GO:0019815        B cell receptor complex       "antibodies"
4515     4525    GO:0042571        immunoglobulin complex, circulating   "antibodies"
4591     4596    GO:0005623        cell                          "cells"
4759     4768    GO:0000239        pachytene                     "pachytene"
4769     4776    GO:0005634        nucleus                       "nucleus"
4787     4796    GO:0007129        synapsis                      "synapsis."
4787     4796    GO:0045202        synapse                       "synapsis."
4861     4868    GO:0005634        nucleus                       "nucleus"
4910     4932    GO:0098687        chromosomal region            "chromosomes or regions"
4936     4947    GO:0005694        chromosome                    "chromosomes"
5048     5057    GO:0000239        pachytene                     "pachytene"
5101     5109    GO:0007129        synapsis                      "synapsed"
5101     5109    GO:0045202        synapse                       "synapsed"
5110     5119    GO:0000239        pachytene                     "pachytene"
5120     5131    GO:0005694        chromosome                    "chromosomes"
5193     5202    GO:0051324        prophase                      "prophase,"
5218     5227    GO:0030849        autosome                      "autosomes"
5241     5250    GO:0000239        pachytene                     "pachytene"
5251     5257    GO:0005634        nucleus                       "nuclei"
5299     5306    GO:0001741        XY body                       "XY body"
5342     5350    GO:0007129        synapsis                      "synapsed"
5342     5350    GO:0045202        synapse                       "synapsed"
5358     5369    GO:0005694        chromosome                    "chromosomes"
5389     5404    GO:0016310        phosphorylation               "phosphorylation"
5426     5433    GO:0001741        XY body                       "XY body"
5508     5516    GO:0001741        XY body                       "XY body,"
5536     5545    GO:0030849        autosome                      "autosomal"
5551     5566    GO:0016310        phosphorylation               "phosphorylation"
5607     5616    GO:0000239        pachytene                     "pachytene"
5664     5671    GO:0001741        XY body                       "XY body"
5776     5792    GO:0000803        sex chromosome                "sex chromosomes,"
5808     5818    GO:0005694        chromosome                    "chromosome"
5819     5824    GO:0019013        viral nucleocapsid            "cores"
5875     5883    GO:0007129        synapsis                      "synapsed"
5875     5883    GO:0045202        synapse                       "synapsed"
5884     5889    GO:0019013        viral nucleocapsid            "cores"
5981     5990    GO:0000239        pachytene                     "pachytene"
6115     6124    GO:0000239        pachytene                     "pachytene"
6125     6131    GO:0005634        nucleus                       "nuclei"
6152     6158    GO:0002948        archaeosine synthase activity         "arcs)."
76       86      GO:0005694        chromosome                    "chromosome"
124      131     GO:0051321        meiotic cell cycle            "meiotic"
124      131     GO:0007126        meiotic nuclear division      "meiotic"
152      171     GO:0005711        obsolete meiotic chromosome   "meiotic chromosomes"
152      171     GO:0000794        condensed nuclear chromosome          "meiotic chromosomes"
239      248     GO:0007129        synapsis                      "synapsis."
239      248     GO:0045202        synapse                       "synapsis."
487      514     GO:0005714        early recombination nodule    "early recombination nodules"
572      580     GO:0000238        zygotene                      "zygotene"
629      637     GO:0003823        antigen binding               "antibody"
629      637     GO:0019815        B cell receptor complex       "antibody"
629      637     GO:0042571        immunoglobulin complex, circulating   "antibody"
679      701     GO:0000725        recombinational repair        "recombinational repair"
728      744     GO:0008278        cohesin complex               "cohesin complex,"
1004     1013    GO:0000781        chromosome, telomeric region          "telomeres"
1004     1013    GO:0005696        obsolete telomere             "telomeres"
1066     1074    GO:0000781        chromosome, telomeric region          "telomere"
1066     1074    GO:0005696        obsolete telomere             "telomere"
1128     1143    GO:0043234        protein complex               "protein complex"
1176     1184    GO:0000781        chromosome, telomeric region          "telomere"
1176     1184    GO:0005696        obsolete telomere             "telomere"
1222     1231    GO:0000781        chromosome, telomeric region          "telomeres"
1222     1231    GO:0005696        obsolete telomere             "telomeres"
1246     1254    GO:0007129        synapsis                      "synapsed"
1246     1254    GO:0045202        synapse                       "synapsed"
1290     1301    GO:0005694        chromosome                    "chromosomes"
1411     1417    GO:0005634        nucleus                       "nuclei"
1423     1433    GO:0003823        antigen binding               "antibodies"
1423     1433    GO:0019815        B cell receptor complex       "antibodies"
1423     1433    GO:0042571        immunoglobulin complex, circulating   "antibodies"
1520     1530    GO:0005694        chromosome                    "chromosome"
1688     1696    GO:0007129        synapsis                      "synapsed"
1688     1696    GO:0045202        synapse                       "synapsed"
1697     1709    GO:0005694        chromosome                    "chromosomes."
1733     1742    GO:0000239        pachytene                     "pachytene"
1845     1854    GO:0001741        XY body                       "XY body),"
1962     1969    GO:0003675        obsolete protein              "protein"
2022     2029    GO:0003675        obsolete protein              "protein"
2088     2107    GO:0005711        obsolete meiotic chromosome   "meiotic chromosomes"
2088     2107    GO:0000794        condensed nuclear chromosome          "meiotic chromosomes"
2391     2400    GO:0007129        synapsis                      "synapsing"
2391     2400    GO:0045202        synapse                       "synapsing"
2401     2420    GO:0005711        obsolete meiotic chromosome   "meiotic chromosomes"
2401     2420    GO:0000794        condensed nuclear chromosome          "meiotic chromosomes"
2481     2485    GO:0005488        binding                       "bind"
2553     2562    GO:0000239        pachytene                     "pachytene"
2570     2581    GO:0005694        chromosome                    "chromosomes"
2722     2743    GO:0000077        DNA damage checkpoint         "DNA damage checkpoint"
2776     2787    GO:0005694        chromosome                    "chromosomes"
2800     2807    GO:0051321        meiotic cell cycle            "meiotic"
2800     2807    GO:0007126        meiotic nuclear division      "meiotic"
2812     2835    GO:0009048        dosage compensation by inactivation of X chromosome   "chromosome inactivation"
2847     2854    GO:0051321        meiotic cell cycle            "meiotic"
2847     2854    GO:0007126        meiotic nuclear division      "meiotic"
2877     2886    GO:0000785        chromatin                     "chromatin"
2917     2927    GO:0003823        antigen binding               "antibodies"
2917     2927    GO:0019815        B cell receptor complex       "antibodies"
2917     2927    GO:0042571        immunoglobulin complex, circulating   "antibodies"
2995     3010    GO:0016310        phosphorylation               "phosphorylation"
3083     3094    GO:0005694        chromosome                    "chromosomes"
3105     3114    GO:0007129        synapsis                      "synapsed,"
3105     3114    GO:0045202        synapse                       "synapsed,"
3203     3214    GO:0005694        chromosome                    "chromosomes"
3220     3230    GO:0006281        DNA repair                    "DNA repair"
3278     3288    GO:0006281        DNA repair                    "DNA repair"
3301     3316    GO:0006351        transcription, DNA-templated          "transcriptional"
3383     3392    GO:0000239        pachytene                     "pachytene"
3428     3438    GO:0006281        DNA repair                    "DNA repair"
3546     3555    GO:0000240        diplotene                     "diplotene"
3556     3562    GO:0005634        nucleus                       "nuclei"
3575     3584    GO:0030849        autosome                      "autosomal"
3633     3642    GO:0051323        metaphase                     "metaphase"
3738     3747    GO:0000240        diplotene                     "diplotene"
3752     3761    GO:0051323        metaphase                     "metaphase"
3953     3964    GO:0005694        chromosome                    "chromosomes"
4057     4080    GO:0000725        recombinational repair        "recombinational repair."
4300     4309    GO:0005712        chiasma                       "chiasmata"
4479     4488    GO:0000239        pachytene                     "pachytene"
4489     4500    GO:0005694        chromosome                    "chromosomes"
4562     4571    GO:0000239        pachytene                     "pachytene"
4572     4578    GO:0005634        nucleus                       "nuclei"
4681     4690    GO:0000239        pachytene                     "pachytene"
4691     4697    GO:0005634        nucleus                       "nuclei"
4767     4778    GO:0005694        chromosome                    "chromosomes"
4908     4919    GO:0005694        chromosome                    "chromosomes"
5036     5045    GO:0000239        pachytene                     "pachytene"
5170     5178    GO:0051324        prophase                      "prophase"
5204     5209    GO:0005623        cell                          "cells"
5285     5292    GO:0003675        obsolete protein              "protein"
5293     5304    GO:0016791        phosphatase activity          "phosphatase"
5358     5369    GO:0009056        catabolic process             "degradation"
5381     5405    GO:0030261        chromosome condensation       "chromosome condensation,"
5435     5444    GO:0051323        metaphase                     "metaphase"
5461     5470    GO:0051323        metaphase                     "metaphase"
5565     5587    GO:0000793        condensed chromosome          "condensed chromosomes,"
5685     5694    GO:0000239        pachytene                     "pachytene"
5862     5872    GO:0051323        metaphase                     "metaphases"
5972     5979    GO:0051321        meiotic cell cycle            "Meiotic"
5972     5979    GO:0007126        meiotic nuclear division      "Meiotic"
6022     6030    GO:0007129        synapsis                      "Synapsis"
6022     6030    GO:0045202        synapse                       "Synapsis"
6074     6083    GO:0097194        execution phase of apoptosis          "apoptosis"
6074     6083    GO:0006915        apoptotic process             "apoptosis"
6429     6438    GO:0097194        execution phase of apoptosis          "apoptosis"
6429     6438    GO:0006915        apoptotic process             "apoptosis"
6526     6536    GO:0005694        chromosome                    "chromosome"
6537     6545    GO:0007129        synapsis                      "synapsis"
6537     6545    GO:0045202        synapse                       "synapsis"
6571     6582    GO:0005694        chromosome                    "chromosomes"
6757     6762    GO:0016265        death                         "death"
6790     6808    GO:0031577        spindle checkpoint            "spindle checkpoint"
12       21      GO:0051323        metaphase                     "metaphase"
165      173     GO:0007129        synapsis                      "synapsis"
165      173     GO:0045202        synapse                       "synapsis"
189      198     GO:0000239        pachytene                     "pachytene"
358      368     GO:0005694        chromosome                    "chromosome"
369      377     GO:0007129        synapsis                      "synapsis"
369      377     GO:0045202        synapse                       "synapsis"
589      598     GO:0009058        biosynthetic process          "formation"
603      613     GO:0005694        chromosome                    "chromosome"
614      622     GO:0007129        synapsis                      "synapsis"
614      622     GO:0045202        synapse                       "synapsis"
774      785     GO:0005694        chromosome                    "chromosomes"
824      834     GO:0003823        antigen binding               "antibodies"
824      834     GO:0019815        B cell receptor complex       "antibodies"
824      834     GO:0042571        immunoglobulin complex, circulating   "antibodies"
1008     1015    GO:0005634        nucleus                       "nuclei."
1058     1067    GO:0000239        pachytene                     "pachytene"
1473     1483    GO:0005694        chromosome                    "chromosome"
1484     1492    GO:0007129        synapsis                      "synapsis"
1484     1492    GO:0045202        synapse                       "synapsis"
1573     1581    GO:0007129        synapsis                      "synapsis"
1573     1581    GO:0045202        synapse                       "synapsis"
1720     1739    GO:0005711        obsolete meiotic chromosome   "Meiotic chromosomes"
1720     1739    GO:0000794        condensed nuclear chromosome          "Meiotic chromosomes"
1906     1914    GO:0007129        synapsis                      "synapsis"
1906     1914    GO:0045202        synapse                       "synapsis"
1939     1949    GO:0005695        obsolete chromatid            "chromatids"
1939     1949    GO:0005694        chromosome                    "chromatids"
1960     1967    GO:0007129        synapsis                      "synapse"
1960     1967    GO:0045202        synapse                       "synapse"
1976     1981    GO:0005488        binding                       "bound"
2054     2063    GO:0051323        metaphase                     "metaphase"
2289     2298    GO:0051323        metaphase                     "metaphase"
2390     2401    GO:0005694        chromosome                    "chromosomes"
2433     2443    GO:0005694        chromosome                    "chromosome"
2444     2452    GO:0007129        synapsis                      "synapsis"
2444     2452    GO:0045202        synapse                       "synapsis"
2699     2706    GO:0051321        meiotic cell cycle            "meiotic"
2699     2706    GO:0007126        meiotic nuclear division      "meiotic"
2934     2941    GO:0051321        meiotic cell cycle            "meiotic"
2934     2941    GO:0007126        meiotic nuclear division      "meiotic"
2986     2996    GO:0005694        chromosome                    "chromosome"
2997     3005    GO:0007129        synapsis                      "synapsis"
2997     3005    GO:0045202        synapse                       "synapsis"
3012     3027    GO:0007283        spermatogenesis               "spermatogenesis"
3124     3133    GO:0000785        chromatin                     "chromatin"
3263     3274    GO:0005694        chromosome                    "chromosomes"
3598     3605    GO:0051321        meiotic cell cycle            "Meiotic"
3598     3605    GO:0007126        meiotic nuclear division      "Meiotic"
3957     3967    GO:0048477        oogenesis                     "oogenesis,"
4080     4090    GO:0009058        biosynthetic process          "formation."
4181     4188    GO:0051321        meiotic cell cycle            "meiotic"
4181     4188    GO:0007126        meiotic nuclear division      "meiotic"
4465     4485    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
4542     4550    GO:0007129        synapsis                      "synapsis"
4542     4550    GO:0045202        synapse                       "synapsis"
4653     4661    GO:0007129        synapsis                      "synapsis"
4653     4661    GO:0045202        synapse                       "synapsis"
5003     5011    GO:0007129        synapsis                      "synapsis"
5003     5011    GO:0045202        synapse                       "synapsis"
5131     5138    GO:0051321        meiotic cell cycle            "meiotic"
5131     5138    GO:0007126        meiotic nuclear division      "meiotic"
5209     5216    GO:0051321        meiotic cell cycle            "meiotic"
5209     5216    GO:0007126        meiotic nuclear division      "meiotic"
5308     5328    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
5607     5614    GO:0051321        meiotic cell cycle            "meiotic"
5607     5614    GO:0007126        meiotic nuclear division      "meiotic"
5778     5786    GO:0003675        obsolete protein              "proteins"
6189     6196    GO:0051321        meiotic cell cycle            "meiotic"
6189     6196    GO:0007126        meiotic nuclear division      "meiotic"
6197     6203    GO:0005623        cell                          "cells."
6305     6312    GO:0051321        meiotic cell cycle            "meiosis"
6305     6312    GO:0007126        meiotic nuclear division      "meiosis"
6437     6446    GO:0000239        pachytene                     "pachytene"
6447     6459    GO:0005694        chromosome                    "chromosomes,"
6533     6540    GO:0051321        meiotic cell cycle            "meiotic"
6533     6540    GO:0007126        meiotic nuclear division      "meiotic"
101      108     GO:0051321        meiotic cell cycle            "meiotic"
101      108     GO:0007126        meiotic nuclear division      "meiotic"
174      179     GO:0005627        obsolete ascus                "ascus"
180      189     GO:0009058        biosynthetic process          "formation"
335      340     GO:0005623        cell                          "cells"
400      409     GO:0007127        meiosis I                     "meiosis I"
584      592     GO:0007129        synapsis                      "synapsis"
584      592     GO:0045202        synapse                       "synapsis"
658      667     GO:0009058        biosynthetic process          "formation"
915      928     GO:0005694        chromosome                    "chromosomes)."
1151     1173    GO:0000725        recombinational repair        "recombinational repair"
1206     1214    GO:0003675        obsolete protein              "proteins"
1254     1263    GO:0000239        pachytene                     "pachytene"
1264     1276    GO:0005694        chromosome                    "chromosomes."
1383     1390    GO:0003675        obsolete protein              "protein"
1492     1500    GO:0051321        meiotic cell cycle            "meiosis,"
1492     1500    GO:0007126        meiotic nuclear division      "meiosis,"
1667     1673    GO:0023052        signaling                     "signal"
1732     1740    GO:0051321        meiotic cell cycle            "meiosis."
1732     1740    GO:0007126        meiotic nuclear division      "meiosis."
1764     1774    GO:0008219        cell death                    "cell death"
1972     1981    GO:0009058        biosynthetic process          "formation"
1990     1998    GO:0007129        synapsis                      "synapsis"
1990     1998    GO:0045202        synapse                       "synapsis"
2278     2298    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
2432     2452    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
2478     2486    GO:0007129        synapsis                      "synapsis"
2478     2486    GO:0045202        synapse                       "synapsis"
2657     2666    GO:0000239        pachytene                     "pachytene"
3110     3117    GO:0051321        meiotic cell cycle            "meiosis"
3110     3117    GO:0007126        meiotic nuclear division      "meiosis"
3226     3232    GO:0005634        nucleus                       "nuclei"
3372     3387    GO:0000803        sex chromosome                "sex chromosomes"
3488     3495    GO:0001741        XY body                       "XY body"
3765     3772    GO:0051321        meiotic cell cycle            "meiosis"
3765     3772    GO:0007126        meiotic nuclear division      "meiosis"
3902     3909    GO:0003675        obsolete protein              "protein"
4030     4037    GO:0003675        obsolete protein              "protein"
4147     4154    GO:0051321        meiotic cell cycle            "meiotic"
4147     4154    GO:0007126        meiotic nuclear division      "meiotic"
4381     4389    GO:0003675        obsolete protein              "proteins"
5079     5094    GO:0044215        other organism                "other organisms"
5128     5136    GO:0007129        synapsis                      "synapsis"
5128     5136    GO:0045202        synapse                       "synapsis"
5297     5306    GO:0000239        pachytene                     "pachytene"
5430     5441    GO:0005695        obsolete chromatid            "chromatids."
5430     5441    GO:0005694        chromosome                    "chromatids."
5582     5602    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
5727     5732    GO:0016265        death                         "death"
5900     5921    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint."
5991     5998    GO:0051321        meiotic cell cycle            "meiotic"
5991     5998    GO:0007126        meiotic nuclear division      "meiotic"
6067     6074    GO:0007067        mitotic nuclear division      "mitotic"
6168     6188    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
1714     1718    GO:0031672        A band                        "band"
