Start	End	Ontology	Ontology Term	Article Term
121	147	GO:0045444	fat	cell
275	300	GO:0045444	fat	cell
468	480	GO:0045444	fat	cell
468	480	GO:0060612	adipose	tissue
752	767	GO:0006351	transcription,	DNA-templated
1791	1800	GO:0003823	antigen	binding
1791	1800	GO:0019815	B	cell
1791	1800	GO:0042571	immunoglobulin	complex,
1850	1856	GO:0005623	cell	cells.
1906	1911	GO:0005623	cell	cells
2215	2230	GO:0010467	gene	expression
2332	2344	GO:0051179	localization	Localization
2460	2475	GO:0010467	gene	expression
2640	2645	GO:0004617	phosphoglycerate	dehydrogenase
3483	3493	GO:0005777	peroxisome	peroxisome
3645	3657	GO:0051179	localization	Localization
3872	3880	GO:0003823	antigen	binding
3872	3880	GO:0019815	B	cell
3872	3880	GO:0042571	immunoglobulin	complex,
4097	4105	GO:0003823	antigen	binding
4097	4105	GO:0019815	B	cell
4097	4105	GO:0042571	immunoglobulin	complex,
4476	4484	GO:0003823	antigen	binding
4476	4484	GO:0019815	B	cell
4476	4484	GO:0042571	immunoglobulin	complex,
4584	4591	GO:0005634	nucleus	nucleus
4595	4600	GO:0005623	cell	cells
4664	4674	GO:0005737	cytoplasm	cytoplasm.
5519	5526	GO:0003675	obsolete	protein
5581	5586	GO:0005623	cell	cells
5640	5646	GO:0004617	phosphoglycerate	dehydrogenase
5662	5671	GO:0003823	antigen	binding
5662	5671	GO:0019815	B	cell
5662	5671	GO:0042571	immunoglobulin	complex,
5684	5692	GO:0003823	antigen	binding
5684	5692	GO:0019815	B	cell
5684	5692	GO:0042571	immunoglobulin	complex,
5808	5816	GO:0003823	antigen	binding
5808	5816	GO:0019815	B	cell
5808	5816	GO:0042571	immunoglobulin	complex,
5888	5898	GO:0003823	antigen	binding
5888	5898	GO:0019815	B	cell
5888	5898	GO:0042571	immunoglobulin	complex,
1737	1745	GO:0035188	hatching	(hatched
2022	2029	GO:0035188	hatching	hatched
2990	3017	GO:0001649	osteoblast	differentiation
3577	3582	GO:0005623	cell	cells
3602	3608	GO:0005634	nucleus	nuclei
3818	3823	GO:0005623	cell	cells
3874	3886	GO:0045444	fat	cell
3874	3886	GO:0060612	adipose	tissue
4096	4121	GO:0045444	fat	cell
4370	4374	GO:0005623	cell	cell
4906	4911	GO:0005623	cell	cells
5120	5127	GO:0003675	obsolete	protein
5181	5189	GO:0003823	antigen	binding
5181	5189	GO:0019815	B	cell
5181	5189	GO:0042571	immunoglobulin	complex,
5207	5217	GO:0003823	antigen	binding
5207	5217	GO:0019815	B	cell
5207	5217	GO:0042571	immunoglobulin	complex,
5411	5417	GO:0005623	cell	cells,
130	141	GO:0032502	developmental	process
394	408	GO:0031214	biomineral	tissue
