Start	End	Ontology	OntologyTerm	Annotated Term
6698	6720	GO:0043473PHENOTYPE	pigmentation	phenotype
136	148	GO:0032502	developmental	process
320	332	GO:0043473	pigmentation	Pigmentation
515	528	GO:0001756	somitogenesis	somitogenesis
538	549	GO:0032502	developmental	process
714	718	GO:0005623	cell	cell
861	873	GO:0043473	pigmentation	pigmentation
1384	1394	GO:0009058	biosynthetic	process
1410	1414	GO:0005623	cell	cell
1484	1496	GO:0043473	pigmentation	pigmentation
1938	1950	GO:0043473	pigmentation	pigmentation
2481	2493	GO:0043473	pigmentation	pigmentation
2555	2565	GO:0065007	biological	regulation
2774	2786	GO:0043473	pigmentation	pigmentation
3939	3947	GO:0007618	mating	matings,
3939	3947	GO:1990277	parasexual	conjugation
3939	3947	GO:0000747	conjugation	with
3939	3947	GO:0009291	unidirectional	conjugation
4206	4213	GO:0031430	M	band
399	410	GO:0005694	chromosome	chromosomes
555	562	GO:0004239	obsolete	methionyl
2390	2400	GO:0005694	chromosome	chromosome
2441	2452	GO:0005694	chromosome	chromosome.
2736	2751	GO:0006351	transcription,	DNA-templated
4314	4321	GO:0042603	capsule	capsule
143	149	GO:0043198	dendritic	shaft
787	799	GO:0043473	pigmentation	pigmentation
1845	1858	GO:0043473	pigmentation	pigmentation.
3154	3170	GO:0043588	skin	development
3576	3598	GO:0043473PHENOTYPE	pigmentation	phenotype
4521	4533	GO:0043473	pigmentation	pigmentation
32	40	GO:0051321	meiotic	cell
32	40	GO:0007126	meiotic	nuclear
301	308	GO:0003675	obsolete	protein
3264	3276	GO:0043473	pigmentation	Pigmentation
3408	3415	GO:0031430	M	band
3851	3863	GO:0043473	pigmentation	pigmentation
3914	3926	GO:0043473	pigmentation	pigmentation
4318	4323	GO:0043198	dendritic	shaft
4361	4373	GO:0043473	pigmentation	pigmentation
5270	5275	GO:0043198	dendritic	shaft
